name,mpg,fgm_per_g,fga_per_g,fg_pct,fg3m_per_g,fg3a_per_g,fg3_pct,fg2m_per_g,fg2a_per_g,fg2_pct,efg_pct,ftm_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,ppg,player_efficiency_rating,true_shooting_percentage,three_point_attempt_rate,free_throw_attempt_rate,offensive_rebound_percentage,defensive_rebound_percentage,total_rebound_percentage,assist_percentage,steal_percentage,block_percentage,turnover_percentage,usage_percentage,offensive_win_shares,defensive_win_shares,win_shares,win_shares_per_48_minutes,offensive_box_plus_minus,defensive_box_plus_minus,box_plus_minus,value_over_replacement_player,age,team,games_played,games_started,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points,positions_Center,positions_Point Guard,positions_Power Forward,positions_Shooting Guard,positions_Small Forward,season,MVP,DPOY,SMOY,MIP,team_1st,team_2nd,team_3rd
Olden Polynice,20.8,3.6,7.7,0.459,0.0,0.0,0.0,3.6,7.7,0.46,0.459,0.7,1.6,0.452,2.5,3.8,6.3,1.5,0.5,0.6,1.4,2.3,7.9,14.7,0.464,0.002,0.212,12.9,20.8,16.8,12.7,1.3,2.1,14.2,21.1,-0.1,1.6,1.5,0.049,-1.6,-0.9,-2.5,-0.2,33,Sacramento Kings,70,25,1458,249,542,0,1,52,115,173,266,107,37,45,98,158,550,1,0,0,0,0,1997-98,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mark Pope,6.9,0.5,1.5,0.341,0.0,0.1,0.333,0.5,1.4,0.342,0.354,0.4,0.6,0.588,0.3,0.6,0.9,0.3,0.1,0.2,0.4,1.3,1.4,3.4,0.402,0.073,0.415,5.9,10.1,8.1,5.5,0.8,2.2,17.1,14.4,-0.2,0.2,0.0,-0.003,-7.1,-0.4,-7.6,-0.3,25,Indiana Pacers,28,0,193,14,41,1,3,10,17,9,17,7,3,6,10,36,39,0,0,0,0,1,1997-98,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Terry Porter,21.8,3.2,7.0,0.449,1.1,2.8,0.395,2.0,4.2,0.485,0.529,2.0,2.4,0.856,0.5,1.6,2.0,3.3,0.8,0.2,1.3,1.3,9.5,17.3,0.586,0.404,0.338,2.4,8.2,5.3,23.5,1.8,0.6,13.6,19.1,4.3,0.9,5.2,0.139,2.9,-0.4,2.4,2.0,34,Minnesota Timberwolves,82,8,1786,259,577,92,233,167,195,37,131,271,63,16,104,103,777,0,1,0,0,0,1997-98,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vitaly Potapenko,17.7,2.9,6.1,0.48,0.0,0.0,0.0,2.9,6.1,0.48,0.48,1.3,1.8,0.708,1.4,2.5,3.9,0.7,0.3,0.4,1.7,2.5,7.1,11.0,0.517,0.002,0.295,9.7,17.4,13.6,7.4,1.0,1.5,19.3,22.4,-0.7,2.2,1.5,0.052,-3.7,-0.4,-4.1,-0.8,22,Cleveland Cavaliers,80,0,1412,234,488,0,1,102,144,110,203,57,27,28,132,198,570,1,0,0,0,0,1997-98,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brent Price,18.5,1.8,4.3,0.413,1.0,2.6,0.39,0.8,1.7,0.447,0.531,1.1,1.4,0.786,0.5,1.0,1.5,2.7,0.7,0.1,1.5,2.3,5.6,10.9,0.575,0.603,0.316,3.3,6.1,4.8,22.3,2.1,0.2,23.9,15.8,1.2,0.4,1.6,0.059,-1.1,-0.9,-2.0,0.0,29,Houston Rockets,72,2,1332,128,310,73,187,77,98,37,70,192,52,4,111,163,406,0,1,0,0,0,1997-98,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mark Price,22.7,3.6,8.4,0.431,0.8,2.5,0.335,2.8,6.0,0.471,0.48,1.4,1.6,0.845,0.4,1.7,2.0,4.7,0.8,0.1,2.6,1.5,9.5,14.9,0.518,0.292,0.194,1.9,8.8,5.3,38.6,2.0,0.3,21.9,23.7,0.5,1.3,1.7,0.058,0.8,-1.2,-0.4,0.6,33,Orlando Magic,63,33,1430,229,531,52,155,87,103,24,105,297,53,5,162,92,597,0,1,0,0,0,1997-98,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eldridge Recasner,24.6,3.5,7.7,0.456,1.1,2.5,0.419,2.4,5.2,0.474,0.524,1.3,1.3,0.937,0.5,1.9,2.4,2.0,0.7,0.0,1.5,1.6,9.3,13.0,0.563,0.327,0.175,2.7,8.6,5.7,13.8,1.5,0.0,15.8,18.4,1.9,1.0,2.9,0.095,0.5,-1.0,-0.4,0.6,30,Atlanta Hawks,59,14,1454,206,452,62,148,74,79,32,110,117,41,1,91,94,548,0,0,0,1,0,1997-98,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bryant Reeves,34.1,6.6,12.7,0.523,0.0,0.1,0.0,6.6,12.7,0.525,0.523,3.0,4.3,0.706,2.6,5.3,7.9,2.1,0.5,1.1,2.1,3.8,16.3,17.3,0.559,0.004,0.336,9.0,17.7,13.3,10.9,0.8,2.2,12.6,21.8,4.3,0.6,4.9,0.093,0.5,-1.6,-1.1,0.5,24,Vancouver Grizzlies,74,74,2527,492,941,0,4,223,316,196,389,155,39,80,156,278,1207,1,0,0,0,0,1997-98,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Khalid Reeves,23.8,3.0,7.2,0.418,0.7,1.9,0.368,2.3,5.4,0.435,0.465,2.0,2.6,0.775,0.7,1.6,2.3,2.8,1.0,0.1,1.6,2.4,8.7,13.1,0.522,0.256,0.359,3.0,7.6,5.3,19.8,2.2,0.4,15.9,19.2,1.5,1.0,2.5,0.062,-1.5,-0.4,-1.9,0.0,25,Dallas Mavericks,82,54,1950,248,593,56,152,165,213,54,131,230,80,10,130,195,717,0,1,0,0,0,1997-98,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Don Reid,14.6,1.4,2.6,0.534,0.0,0.0,0.0,1.4,2.6,0.534,0.534,0.7,1.0,0.704,1.1,1.4,2.6,0.4,0.4,0.8,0.4,2.7,3.5,11.4,0.574,0.0,0.403,9.2,11.8,10.5,4.2,1.4,4.2,11.9,11.0,1.5,1.3,2.8,0.135,-2.5,1.5,-1.1,0.2,24,Detroit Pistons,68,44,994,94,176,0,0,50,71,77,98,26,25,55,28,183,238,0,0,1,0,0,1997-98,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J.R. Reid,14.0,1.8,4.0,0.459,0.0,0.1,0.375,1.8,3.9,0.461,0.464,1.1,1.5,0.73,0.9,1.7,2.7,0.6,0.4,0.2,0.8,2.2,4.9,11.3,0.517,0.025,0.384,7.9,14.9,11.4,7.4,1.7,1.3,14.9,18.2,0.6,1.1,1.8,0.076,-3.0,-0.4,-3.3,-0.4,29,Charlotte Hornets,79,1,1109,146,318,3,8,89,122,72,138,51,35,19,65,172,384,0,0,1,0,0,1997-98,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rodrick Rhodes,18.4,1.9,5.3,0.367,0.0,0.1,0.25,1.9,5.1,0.37,0.37,1.9,3.1,0.617,0.5,0.7,1.2,1.9,1.1,0.2,1.7,2.2,5.8,7.7,0.439,0.026,0.59,3.1,4.6,3.9,16.1,3.1,0.7,20.2,20.4,-1.5,0.6,-0.9,-0.04,-5.1,-0.4,-5.4,-0.9,24,Houston Rockets,58,13,1070,112,305,2,8,111,180,28,42,110,62,10,97,125,337,0,0,0,0,1,1997-98,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Glen Rice,40.2,7.7,16.9,0.457,1.6,3.7,0.433,6.1,13.2,0.464,0.504,5.2,6.1,0.849,1.1,3.2,4.3,2.2,0.9,0.3,2.2,2.4,22.3,17.4,0.568,0.216,0.364,3.3,9.6,6.5,9.9,1.3,0.5,10.2,25.1,7.4,2.0,9.3,0.136,2.4,-1.6,0.9,2.4,30,Charlotte Hornets,82,82,3295,634,1386,130,300,428,504,89,264,182,77,22,182,200,1826,0,0,0,0,1,1997-98,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Pooh Richardson,18.1,1.8,4.8,0.372,0.2,0.8,0.193,1.6,4.0,0.409,0.389,0.4,0.6,0.698,0.2,1.1,1.4,3.3,0.6,0.0,0.8,1.0,4.2,10.3,0.411,0.171,0.129,1.5,7.2,4.4,28.1,1.8,0.2,13.3,14.4,0.3,-0.1,0.2,0.006,-2.3,-1.6,-3.9,-0.6,31,Los Angeles Clippers,69,17,1252,124,333,11,57,30,43,17,79,226,44,3,54,71,289,0,1,0,0,0,1997-98,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mitch Richmond,36.7,7.8,17.4,0.445,1.9,4.8,0.389,5.9,12.7,0.466,0.498,5.8,6.7,0.864,0.7,2.6,3.3,4.0,1.3,0.2,2.6,2.2,23.2,20.4,0.569,0.274,0.386,2.1,7.9,5.0,20.2,1.8,0.4,11.3,27.8,6.6,1.3,7.9,0.148,4.4,-0.8,3.6,3.6,32,Sacramento Kings,70,70,2569,543,1220,130,334,407,471,50,179,279,88,15,181,154,1623,0,0,0,1,0,1997-98,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Isaiah Rider,37.6,7.4,17.6,0.423,1.8,5.7,0.321,5.6,11.9,0.472,0.475,3.0,3.6,0.828,1.3,3.3,4.7,3.1,0.7,0.3,2.5,2.5,19.7,15.2,0.514,0.323,0.205,4.3,10.0,7.2,15.7,1.1,0.5,11.6,26.1,3.2,2.5,5.8,0.099,1.3,-1.2,0.1,1.5,26,Portland Trail Blazers,74,66,2786,551,1302,135,420,221,267,99,247,231,55,19,187,188,1458,0,0,0,1,0,1997-98,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eric Riley,13.9,1.4,3.5,0.415,0.0,0.0,0.0,1.4,3.4,0.418,0.415,0.7,0.9,0.75,1.1,2.3,3.4,0.6,0.4,1.2,0.9,2.1,3.6,11.2,0.461,0.007,0.267,8.6,18.8,13.6,6.5,1.5,5.9,19.7,15.8,-0.4,0.7,0.3,0.029,-5.5,1.0,-4.4,-0.3,27,Dallas Mavericks,39,14,544,56,135,0,1,27,36,43,90,22,15,46,37,80,139,1,0,0,0,0,1997-98,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stanley Roberts,17.9,2.6,5.2,0.495,0.0,0.0,0.0,2.6,5.2,0.495,0.495,1.0,2.1,0.481,1.5,3.4,4.9,0.4,0.3,1.0,0.9,3.1,6.2,11.9,0.503,0.0,0.404,9.4,21.5,15.5,3.1,0.9,3.8,13.3,17.5,0.3,1.5,1.8,0.064,-3.8,-0.3,-4.1,-0.7,27,Minnesota Timberwolves,74,44,1328,191,386,0,0,75,156,109,254,27,24,72,70,226,457,1,0,0,0,0,1997-98,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clifford Robinson,29.5,5.4,11.2,0.479,0.3,1.1,0.321,5.0,10.1,0.496,0.494,3.1,4.5,0.689,1.9,3.2,5.1,2.1,1.2,1.1,1.8,3.1,14.2,17.4,0.538,0.094,0.402,7.7,12.5,10.1,11.9,2.0,2.8,11.7,22.9,3.6,3.5,7.1,0.144,0.4,0.7,1.1,1.8,31,Phoenix Suns,80,64,2359,429,895,27,84,248,360,152,258,170,92,90,140,249,1133,0,0,0,0,1,1997-98,0.0,0.0,0.0,0.0,0.0,0.0,0.0
David Robinson,33.7,7.5,14.6,0.511,0.0,0.1,0.25,7.4,14.5,0.512,0.511,6.6,9.0,0.735,3.3,7.3,10.6,2.7,0.9,2.6,2.8,2.8,21.6,27.8,0.581,0.004,0.62,12.0,23.7,18.2,15.9,1.4,5.5,13.0,29.7,7.8,6.0,13.8,0.269,5.3,2.9,8.3,6.3,32,San Antonio Spurs,73,73,2457,544,1065,1,4,485,660,239,536,199,64,192,202,204,1574,1,0,0,0,0,1997-98,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Glenn Robinson,41.0,9.5,20.3,0.47,0.4,1.2,0.385,9.1,19.1,0.475,0.481,3.8,4.8,0.808,1.5,4.0,5.5,2.8,1.2,0.6,3.6,2.9,23.4,16.8,0.522,0.057,0.234,4.3,12.1,8.2,13.8,1.6,1.1,13.8,28.9,1.3,1.8,3.1,0.065,1.2,-1.2,0.0,1.1,25,Milwaukee Bucks,56,56,2294,534,1136,25,65,215,266,82,225,158,69,34,200,164,1308,0,0,0,0,1,1997-98,0.0,0.0,0.0,0.0,0.0,0.0,0.0
James Robinson,17.6,2.8,7.2,0.389,1.1,3.2,0.329,1.7,3.9,0.438,0.463,1.1,1.5,0.72,0.5,1.1,1.6,1.9,0.5,0.1,1.4,1.4,7.7,12.4,0.494,0.449,0.214,3.4,6.9,5.1,18.8,1.6,0.5,15.0,23.3,0.3,-0.1,0.2,0.007,-0.4,-2.6,-3.0,-0.3,27,Los Angeles Clippers,70,13,1231,195,501,74,225,77,107,37,74,135,37,10,97,101,541,0,1,0,0,0,1997-98,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Larry Robinson,6.8,1.0,3.2,0.316,0.5,1.0,0.5,0.5,2.2,0.231,0.395,0.3,0.3,1.0,0.3,1.7,2.0,0.2,0.7,0.0,0.3,0.0,2.8,15.8,0.428,0.316,0.105,5.6,28.0,16.8,4.0,5.1,0.0,9.1,23.7,0.0,0.1,0.0,0.033,-0.8,-1.6,-2.4,0.0,30,Vancouver Grizzlies,6,0,41,6,19,3,6,2,2,2,10,1,4,0,2,0,17,0,0,0,0,1,1997-98,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dennis Rodman,35.7,1.9,4.5,0.431,0.1,0.3,0.174,1.9,4.2,0.448,0.436,0.8,1.4,0.55,5.3,9.8,15.0,2.9,0.6,0.2,1.8,3.0,4.7,12.4,0.459,0.064,0.308,16.8,31.4,24.1,11.2,0.9,0.5,26.4,8.7,1.9,5.9,7.8,0.131,-0.7,0.4,-0.3,1.3,36,Chicago Bulls,80,66,2856,155,360,4,23,61,111,421,780,230,47,18,147,238,375,0,0,1,0,0,1997-98,0.0,0.0,0.0,0.0,0.0,0.0,0.0
