name,games_played,player_efficiency_rating,true_shooting_percentage,three_point_attempt_rate,free_throw_attempt_rate,offensive_rebound_percentage,defensive_rebound_percentage,total_rebound_percentage,assist_percentage,steal_percentage,block_percentage,turnover_percentage,usage_percentage,offensive_win_shares,defensive_win_shares,win_shares,win_shares_per_48_minutes,offensive_box_plus_minus,defensive_box_plus_minus,box_plus_minus,value_over_replacement_player
Jerryd Bayless,31,11.3,0.473,0.347,0.238,1.5,9.3,5.4,15.6,1.6,0.6,7.7,20.3,0.4,0.6,1.0,0.077,-2.3,0.2,-2.1,0.0
Jerryd Bayless,41,12.5,0.514,0.341,0.161,1.5,8.1,4.7,20.4,2.0,0.3,12.9,19.9,0.7,0.7,1.4,0.064,-1.2,-0.4,-1.7,0.1
Aron Baynes,53,9.7,0.467,0.0,0.129,13.6,19.4,16.6,9.9,0.2,0.7,17.3,19.2,-0.1,0.6,0.6,0.055,-4.7,-1.0,-5.7,-0.5
Kent Bazemore,44,6.2,0.448,0.402,0.371,2.1,14.0,8.1,10.9,2.2,1.7,19.9,23.1,-0.6,0.4,-0.2,-0.034,-6.3,1.2,-5.0,-0.2
Kent Bazemore,23,13.3,0.543,0.362,0.297,0.8,12.0,6.4,17.7,2.3,0.8,15.5,22.3,0.0,0.4,0.4,0.029,-1.7,-0.8,-2.5,-0.1
Bradley Beal,73,14.3,0.507,0.299,0.164,2.4,10.2,6.3,16.0,1.4,0.6,9.4,24.3,1.6,2.4,4.0,0.076,0.3,-0.7,-0.4,1.0
Michael Beasley,55,16.8,0.559,0.152,0.223,4.9,20.5,13.0,8.8,1.5,2.2,12.8,25.7,0.5,1.1,1.6,0.092,-1.1,-0.9,-2.0,0.0
Marco Belinelli,80,15.0,0.605,0.422,0.188,1.0,11.2,6.3,13.2,1.3,0.3,11.2,19.0,3.5,2.4,5.9,0.14,1.0,0.3,1.3,1.7
Anthony Bennett,52,6.9,0.425,0.236,0.307,8.1,18.4,13.1,4.0,1.6,1.0,15.5,20.3,-1.1,0.7,-0.4,-0.028,-6.0,-1.3,-7.4,-0.9
Patrick Beverley,56,12.4,0.545,0.53,0.212,4.9,7.4,6.2,12.8,2.2,1.0,11.2,14.8,2.7,1.6,4.2,0.116,-0.3,0.9,0.6,1.2
Andris Biedriņš,6,2.4,0.412,0.0,6.0,5.0,39.7,21.8,0.0,0.0,0.0,35.5,5.7,-0.1,0.0,0.0,-0.033,-6.2,-2.0,-8.2,-0.1
Chauncey Billups,19,5.3,0.427,0.608,0.152,1.3,8.9,4.9,18.7,1.3,0.3,22.9,15.1,-0.3,0.1,-0.3,-0.042,-4.2,-1.6,-5.8,-0.3
Bismack Biyombo,77,13.3,0.606,0.0,0.618,11.0,27.6,19.3,1.1,0.3,6.3,17.9,9.6,1.1,2.1,3.2,0.144,-2.9,1.7,-1.2,0.2
DeJuan Blair,78,17.3,0.557,0.005,0.308,13.3,21.6,17.5,8.9,2.5,1.4,14.7,19.6,1.8,1.5,3.4,0.133,-1.2,0.1,-1.1,0.3
Steve Blake,27,12.1,0.515,0.562,0.15,1.0,11.4,6.2,33.0,1.9,0.2,22.2,15.7,0.4,0.3,0.8,0.041,-0.7,-0.5,-1.2,0.2
Steve Blake,28,9.4,0.494,0.658,0.067,0.9,9.0,5.0,22.7,1.6,0.7,20.1,11.2,0.3,0.7,1.1,0.084,-2.0,0.9,-1.0,0.2
Andray Blatche,73,18.8,0.532,0.08,0.328,8.9,19.9,14.4,12.8,2.4,2.0,12.5,25.6,1.6,2.1,3.7,0.109,0.1,-0.1,0.0,0.8
Eric Bledsoe,43,19.6,0.578,0.252,0.426,2.1,13.8,8.0,27.0,2.4,0.8,17.8,24.9,2.6,1.6,4.1,0.14,2.3,0.7,3.1,1.8
Vander Blue,3,0.5,0.403,0.25,1.25,0.0,23.4,11.4,10.7,0.0,0.0,24.4,24.3,-0.1,0.0,-0.1,-0.214,-10.0,-3.8,-13.8,0.0
Keith Bogans,6,9.9,0.82,1.0,0.5,0.0,6.4,3.1,7.7,0.9,0.0,12.0,6.7,0.1,0.0,0.1,0.121,-1.4,-0.6,-2.0,0.0
Andrew Bogut,67,17.0,0.61,0.0,0.171,11.4,29.7,20.7,9.3,1.3,5.2,19.4,12.4,2.4,4.0,6.5,0.176,-0.2,3.2,3.0,2.2
Matt Bonner,61,11.2,0.582,0.598,0.073,2.7,17.9,10.6,6.1,1.1,1.2,8.6,12.1,0.8,1.0,1.8,0.123,0.0,1.1,1.0,0.5
Trevor Booker,72,15.0,0.563,0.005,0.189,10.9,17.5,14.1,6.3,1.4,2.4,11.7,14.4,2.3,2.0,4.3,0.132,-0.5,0.4,-0.1,0.7
Carlos Boozer,76,14.4,0.489,0.002,0.197,7.4,25.9,16.8,10.9,1.3,0.8,12.6,26.3,-0.9,4.3,3.4,0.076,-2.3,0.2,-2.1,-0.1
Chris Bosh,79,19.0,0.597,0.229,0.285,5.1,20.3,13.0,5.8,1.7,2.7,10.4,22.6,4.6,3.4,8.0,0.152,1.3,-0.4,0.8,1.8
Avery Bradley,60,12.7,0.51,0.242,0.136,2.9,11.2,6.9,8.1,1.7,0.5,9.9,23.2,0.4,1.4,1.8,0.046,-1.1,-0.8,-1.9,0.1
Elton Brand,73,14.0,0.561,0.006,0.283,8.0,21.5,14.8,8.1,1.4,4.9,13.8,13.9,1.4,2.1,3.6,0.121,-2.4,1.6,-0.8,0.4
Corey Brewer,81,12.7,0.55,0.261,0.281,2.6,6.2,4.3,7.9,2.9,0.9,10.4,16.5,2.4,2.7,5.2,0.095,-1.7,1.5,-0.2,1.2
Ronnie Brewer,23,3.5,0.22,0.533,0.133,1.5,8.0,4.9,8.2,1.9,0.5,11.2,5.0,-0.1,0.1,0.0,0.004,-3.8,1.5,-2.3,0.0
Ronnie Brewer,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029,-4.4,-3.9,-8.3,0.0
Aaron Brooks,43,11.9,0.529,0.502,0.167,3.8,5.7,4.8,18.1,1.7,0.6,15.3,20.4,0.6,0.5,1.1,0.076,-0.1,-0.3,-0.4,0.3
Aaron Brooks,29,12.9,0.508,0.365,0.16,2.6,7.5,5.0,27.7,1.6,0.6,16.2,20.5,0.6,0.4,1.0,0.058,-0.3,-1.2,-1.5,0.1
MarShon Brooks,10,10.7,0.514,0.167,0.583,1.5,28.8,14.8,8.6,0.7,1.1,18.8,22.6,-0.1,0.1,0.0,0.017,-2.5,0.3,-2.2,0.0
MarShon Brooks,7,24.3,0.44,0.154,0.308,7.4,28.6,18.2,0.0,3.3,0.0,0.0,43.3,0.0,0.0,0.0,0.087,-2.0,0.3,-1.6,0.0
MarShon Brooks,18,16.5,0.578,0.216,0.295,3.7,10.3,7.0,15.2,2.6,0.9,14.6,22.3,0.2,0.1,0.3,0.072,0.1,-0.8,-0.7,0.1
Lorenzo Brown,26,8.2,0.349,0.349,0.151,3.7,10.0,6.8,27.5,2.8,1.1,14.9,20.4,-0.5,0.2,-0.3,-0.068,-4.5,-0.7,-5.2,-0.2
Shannon Brown,10,-0.5,0.36,0.071,0.321,1.1,12.6,7.1,6.4,0.5,0.0,20.0,17.5,-0.3,0.1,-0.2,-0.102,-8.8,-1.5,-10.3,-0.2
Shannon Brown,19,8.4,0.462,0.0,0.316,4.6,7.4,6.0,4.1,4.3,0.0,18.8,16.7,-0.2,0.2,0.0,-0.013,-5.2,0.9,-4.3,-0.1
Kobe Bryant,6,10.7,0.505,0.219,0.288,1.2,14.5,7.8,34.6,1.9,0.4,29.2,28.7,-0.5,0.1,-0.4,-0.097,-3.1,-2.1,-5.1,-0.1
Chase Budinger,41,9.7,0.505,0.472,0.154,2.7,12.5,7.5,6.2,1.2,0.2,8.1,16.7,0.3,0.6,0.9,0.059,-1.7,-0.8,-2.5,-0.1
Reggie Bullock,43,6.7,0.46,0.603,0.074,3.2,11.7,7.6,4.3,1.1,0.2,9.4,15.4,-0.2,0.3,0.2,0.019,-2.5,-0.9,-3.3,-0.1
Trey Burke,70,12.6,0.473,0.375,0.126,1.8,9.0,5.3,29.4,1.0,0.2,12.2,21.8,1.0,0.0,0.9,0.02,0.0,-2.6,-2.6,-0.4
Alec Burks,78,15.8,0.547,0.172,0.449,3.0,10.7,6.8,16.9,1.7,0.5,13.0,23.9,2.6,0.6,3.2,0.07,0.2,-1.0,-0.8,0.7
Caron Butler,34,12.4,0.494,0.415,0.158,2.2,20.5,11.0,11.9,1.5,1.1,12.1,23.7,-0.2,0.5,0.2,0.014,-1.2,-1.7,-2.9,-0.2
Caron Butler,22,11.9,0.548,0.548,0.102,1.0,11.9,6.7,6.4,2.0,0.8,4.0,15.0,0.9,0.7,1.6,0.127,0.2,0.5,0.7,0.4
Jimmy Butler,67,13.5,0.522,0.346,0.488,3.9,10.5,7.2,11.1,2.6,1.1,10.8,16.8,2.4,4.6,7.1,0.131,-0.9,2.0,1.1,2.0
