name,mpg,fgm_per_g,fga_per_g,fg_pct,fg3m_per_g,fg3a_per_g,fg3_pct,fg2m_per_g,fg2a_per_g,fg2_pct,efg_pct,ftm_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,ppg,player_efficiency_rating,true_shooting_percentage,three_point_attempt_rate,free_throw_attempt_rate,offensive_rebound_percentage,defensive_rebound_percentage,total_rebound_percentage,assist_percentage,steal_percentage,block_percentage,turnover_percentage,usage_percentage,offensive_win_shares,defensive_win_shares,win_shares,win_shares_per_48_minutes,offensive_box_plus_minus,defensive_box_plus_minus,box_plus_minus,value_over_replacement_player,age,team,games_played,games_started,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points,positions_Center,positions_Point Guard,positions_Power Forward,positions_Shooting Guard,positions_Small Forward,wins,losses,win_loss_pct,team_pts_per_g,opp_pts_per_g,team_simple_rating_system,season
Bryant Stith,34.3,4.6,11.1,0.416,0.5,1.8,0.277,4.1,9.3,0.443,0.439,3.9,4.6,0.844,1.5,3.4,4.9,2.9,1.4,0.2,1.9,2.3,13.6,13.9,0.519,0.162,0.416,5.1,11.3,8.2,13.8,2.1,0.4,12.7,19.6,2.7,2.5,5.2,0.089,-0.8,0.2,-0.6,1.0,25,Denver Nuggets,82,77,2810,379,911,41,148,320,379,125,275,241,114,16,157,187,1119,0,0,0,1,0,35,47,.427,97.7,100.4,-2.62,1995-96
Reggie Williams,15.7,1.8,4.9,0.37,0.4,1.7,0.225,1.4,3.2,0.448,0.409,0.6,0.8,0.846,0.5,1.9,2.3,1.4,0.7,0.4,1.0,2.6,4.6,8.4,0.444,0.35,0.154,3.5,13.8,8.6,14.1,2.2,1.9,15.8,17.6,-0.7,0.9,0.3,0.016,-4.8,1.1,-3.6,-0.3,31,Denver Nuggets,52,5,817,94,254,20,89,33,39,25,97,74,34,21,51,137,241,0,0,0,0,1,35,47,.427,97.7,100.4,-2.62,1995-96
Randy Woods,9.0,0.8,2.8,0.273,0.6,2.6,0.238,0.1,0.1,1.0,0.386,0.3,0.3,1.0,0.4,0.4,0.8,1.5,0.8,0.1,0.6,1.6,2.4,9.5,0.415,0.955,0.091,4.8,4.8,4.8,24.8,4.3,1.0,17.9,17.3,0.0,0.1,0.1,0.038,-1.7,3.3,1.5,0.1,25,Denver Nuggets,8,0,72,6,22,5,21,2,2,3,3,12,6,1,5,13,19,0,1,0,0,0,35,47,.427,97.7,100.4,-2.62,1995-96
Michael Adams,15.7,1.8,4.0,0.446,0.7,2.0,0.341,1.1,2.0,0.548,0.53,1.2,1.7,0.743,0.2,0.8,1.0,3.2,1.0,0.2,1.2,1.2,5.4,16.1,0.579,0.494,0.422,1.8,6.4,4.1,30.4,3.3,0.9,20.3,17.0,0.6,0.2,0.8,0.117,1.6,1.2,2.8,0.4,33,Charlotte Hornets,21,3,329,37,83,14,41,26,35,5,17,67,21,4,25,25,114,0,1,0,0,0,41,41,.500,102.8,103.4,-0.48,1995-96
Rafael Addison,9.7,1.5,3.1,0.467,0.0,0.2,0.0,1.5,2.9,0.494,0.467,0.3,0.4,0.773,0.5,1.2,1.7,0.6,0.2,0.2,0.5,1.4,3.2,9.6,0.489,0.055,0.133,5.8,15.6,10.6,9.2,0.9,1.3,13.4,17.7,0.0,0.2,0.2,0.019,-3.9,-1.0,-4.9,-0.4,31,Charlotte Hornets,53,0,516,77,165,0,9,17,22,25,65,30,9,9,27,74,171,0,0,0,0,1,41,41,.500,102.8,103.4,-0.48,1995-96
Corey Beck,6.6,0.4,1.6,0.25,0.0,0.0,0.0,0.4,1.6,0.25,0.25,0.2,0.4,0.5,0.6,0.8,1.4,1.0,0.2,0.0,0.8,1.6,1.0,0.8,0.282,0.0,0.25,10.8,15.0,12.9,21.0,1.6,0.0,31.1,17.7,-0.1,0.0,-0.1,-0.14,-9.0,-0.7,-9.7,-0.1,24,Charlotte Hornets,5,0,33,2,8,0,0,1,2,3,4,5,1,0,4,8,5,0,1,0,0,0,41,41,.500,102.8,103.4,-0.48,1995-96
Muggsy Bogues,12.8,1.0,2.7,0.375,0.0,0.2,0.0,1.0,2.5,0.4,0.375,0.3,0.3,1.0,1.0,0.2,1.2,3.2,0.3,0.0,1.0,0.7,2.3,10.6,0.415,0.063,0.125,9.3,1.6,5.5,35.1,1.4,0.0,26.2,13.4,0.0,0.0,0.0,0.02,0.1,-3.0,-2.9,0.0,31,Charlotte Hornets,6,0,77,6,16,0,1,2,2,6,1,19,2,0,6,4,14,0,1,0,0,0,41,41,.500,102.8,103.4,-0.48,1995-96
Scott Burrell,34.7,4.6,10.3,0.447,1.9,4.9,0.378,2.8,5.4,0.509,0.536,2.1,2.8,0.75,1.3,3.6,4.9,2.4,1.4,0.7,2.2,3.8,13.2,13.0,0.57,0.476,0.272,4.5,12.9,8.6,10.5,2.0,1.4,15.7,17.9,0.6,0.4,1.1,0.075,0.0,0.1,0.1,0.4,25,Charlotte Hornets,20,20,693,92,206,37,98,42,56,26,72,47,27,13,43,76,263,0,0,0,0,1,41,41,.500,102.8,103.4,-0.48,1995-96
Dell Curry,28.9,5.4,11.9,0.453,2.0,5.0,0.404,3.4,6.9,0.488,0.537,1.8,2.1,0.854,0.8,2.4,3.2,2.1,1.3,0.3,1.6,2.1,14.5,16.8,0.568,0.417,0.176,3.4,10.2,6.8,12.5,2.4,0.8,11.0,22.5,3.8,1.4,5.1,0.104,2.1,-0.3,1.8,2.3,31,Charlotte Hornets,82,29,2371,441,974,164,406,146,171,68,196,176,108,25,130,173,1192,0,0,0,1,0,41,41,.500,102.8,103.4,-0.48,1995-96
Matt Geiger,30.5,4.6,8.6,0.536,0.0,0.1,0.375,4.6,8.5,0.538,0.538,1.9,2.7,0.727,2.6,5.8,8.4,0.8,0.6,0.8,1.8,3.8,11.2,14.2,0.573,0.012,0.308,10.2,23.6,16.8,4.1,1.0,2.0,15.3,17.2,2.4,1.9,4.3,0.088,-1.8,-1.1,-2.9,-0.5,26,Charlotte Hornets,77,50,2349,357,666,3,8,149,205,201,448,60,46,63,137,290,866,1,0,0,0,0,41,41,.500,102.8,103.4,-0.48,1995-96
Anthony Goldwire,14.8,1.8,4.5,0.402,0.8,2.0,0.398,1.0,2.5,0.406,0.489,1.1,1.4,0.767,0.2,0.8,1.0,2.7,0.4,0.0,1.5,1.9,5.5,10.4,0.536,0.439,0.317,1.5,7.0,4.2,27.4,1.4,0.0,22.6,20.3,0.2,0.1,0.3,0.021,-1.8,-2.5,-4.3,-0.3,24,Charlotte Hornets,42,8,621,76,189,33,83,46,60,8,35,112,16,0,63,79,231,0,1,0,0,0,41,41,.500,102.8,103.4,-0.48,1995-96
Darrin Hancock,13.3,1.8,3.4,0.523,0.0,0.0,0.333,1.8,3.3,0.526,0.526,0.7,1.2,0.644,0.6,0.9,1.6,0.7,0.4,0.1,0.9,1.5,4.3,10.0,0.553,0.014,0.341,5.7,8.6,7.1,8.7,1.8,0.4,18.5,16.3,0.2,0.3,0.5,0.028,-2.9,-0.9,-3.8,-0.4,24,Charlotte Hornets,63,7,838,112,214,1,3,47,73,40,58,47,28,5,56,94,272,0,0,0,0,1,41,41,.500,102.8,103.4,-0.48,1995-96
Larry Johnson,40.4,7.2,15.1,0.476,0.8,2.3,0.366,6.4,12.9,0.495,0.503,5.3,7.0,0.757,3.1,5.4,8.4,4.4,0.7,0.5,2.2,2.1,20.5,19.8,0.563,0.149,0.46,9.0,16.4,12.7,18.0,0.9,1.0,11.0,22.9,8.8,1.3,10.1,0.149,3.9,-1.1,2.8,3.9,26,Charlotte Hornets,81,81,3274,583,1225,67,183,427,564,249,434,355,55,43,182,173,1660,0,0,1,0,0,41,41,.500,102.8,103.4,-0.48,1995-96
Robert Parish,14.7,1.6,3.3,0.498,0.0,0.0,0.0,1.6,3.3,0.498,0.498,0.7,1.0,0.704,1.2,2.9,4.1,0.4,0.3,0.7,0.7,1.1,3.9,13.0,0.533,0.0,0.295,9.7,24.4,16.9,4.0,1.0,3.7,15.5,13.4,0.7,1.0,1.7,0.074,-1.0,-0.1,-1.1,0.2,42,Charlotte Hornets,74,34,1086,120,241,0,0,50,71,89,214,29,21,54,50,80,290,1,0,0,0,0,41,41,.500,102.8,103.4,-0.48,1995-96
Glen Rice,39.8,7.7,16.4,0.471,2.2,5.1,0.424,5.6,11.3,0.492,0.537,4.0,4.8,0.837,1.1,3.7,4.8,2.9,1.2,0.2,2.1,2.7,21.6,17.8,0.584,0.311,0.294,3.3,11.5,7.3,12.6,1.5,0.5,10.0,23.4,7.2,1.2,8.3,0.127,2.6,-1.2,1.4,2.7,28,Charlotte Hornets,79,79,3142,610,1296,171,403,319,381,86,292,232,91,19,163,217,1710,0,0,0,0,1,41,41,.500,102.8,103.4,-0.48,1995-96
George Zídek,12.5,1.5,3.5,0.423,0.0,0.0,0.0,1.5,3.5,0.423,0.423,1.0,1.3,0.763,1.0,1.6,2.6,0.2,0.1,0.1,0.5,2.4,4.0,8.0,0.486,0.0,0.375,9.2,15.9,12.5,2.7,0.5,0.6,11.6,16.7,0.3,0.3,0.6,0.031,-5.2,-2.3,-7.5,-1.2,22,Charlotte Hornets,71,21,888,105,248,0,0,71,93,69,114,16,9,7,38,170,281,1,0,0,0,0,41,41,.500,102.8,103.4,-0.48,1995-96
