name,mpg,fgm_per_g,fga_per_g,fg_pct,fg3m_per_g,fg3a_per_g,fg3_pct,fg2m_per_g,fg2a_per_g,fg2_pct,efg_pct,ftm_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,ppg,team
Carlos Clark,4.1,0.6,1.7,.365,0.0,0.1,.000,0.6,1.6,.380,.365,0.5,0.6,.889,0.2,0.3,0.5,0.5,0.3,0.0,0.4,0.4,1.7,BOS
Don Collins,15.7,3.1,6.3,.483,0.0,0.1,.200,3.0,6.3,.487,.484,1.1,1.5,.730,1.0,1.1,2.1,1.1,0.7,0.2,1.3,2.0,7.2,GSW
Leroy Combs,9.3,1.7,3.4,.497,0.0,0.1,.000,1.7,3.3,.506,.497,1.2,1.9,.615,0.4,0.8,1.2,0.8,0.5,0.4,1.0,1.0,4.5,IND
Lester Conner,31.4,4.4,8.9,.493,0.0,0.1,.167,4.4,8.8,.496,.494,2.3,3.2,.718,1.6,2.1,3.7,4.9,2.0,0.1,1.7,2.1,11.1,GSW
Darwin Cook,22.8,3.7,8.4,.443,0.1,0.6,.239,3.6,7.8,.457,.451,1.2,1.5,.754,0.6,1.3,1.9,4.3,2.0,0.4,1.7,2.2,8.7,NJN
Jeff Cook,24.1,2.3,4.8,.486,0.0,0.0,.500,2.3,4.8,.486,.487,1.2,1.6,.723,2.1,3.8,6.0,1.5,0.8,0.6,1.1,3.5,5.8,CLE
Michael Cooper,29.1,3.3,6.7,.497,0.5,1.5,.314,2.9,5.2,.549,.532,1.9,2.3,.838,0.6,2.5,3.2,5.9,1.4,0.8,1.8,3.3,9.0,LAL
Wayne Cooper,20.5,3.8,8.2,.459,0.0,0.1,.000,3.8,8.1,.463,.459,2.3,2.8,.804,2.2,3.7,5.9,0.9,0.3,1.3,1.4,3.0,9.8,POR
Dave Corzine,32.6,4.7,10.0,.467,0.0,0.1,.333,4.7,9.9,.469,.469,2.8,3.4,.840,2.1,5.0,7.0,2.5,0.7,1.5,2.1,2.8,12.2,CHI
Charlie Criss,14.3,1.3,3.5,.385,0.1,0.4,.167,1.3,3.1,.413,.394,0.8,1.1,.750,0.3,1.0,1.3,2.5,0.5,0.0,0.7,0.7,3.5,TOT
Charlie Criss,17.8,1.8,5.0,.367,0.2,1.0,.167,1.7,4.0,.417,.383,1.2,1.8,.636,0.3,1.2,1.5,2.8,0.8,0.0,0.7,1.2,5.0,MIL
Charlie Criss,12.0,1.0,2.4,.409,0.0,0.0,,1.0,2.4,.409,.409,0.6,0.6,1.000,0.3,0.9,1.2,2.3,0.3,0.0,0.7,0.4,2.6,ATL
Geoff Crompton,3.3,0.1,1.1,.125,0.0,0.0,,0.1,1.1,.125,.125,0.4,0.9,.500,0.9,0.4,1.3,0.1,0.1,0.1,0.6,0.6,0.7,CLE
Russell Cross,7.9,1.4,2.5,.571,0.0,0.0,,1.4,2.5,.571,.571,0.8,2.0,.418,0.8,1.0,1.8,0.5,0.3,0.2,0.4,1.3,3.7,GSW
Pat Cummings,31.2,5.7,11.4,.494,0.0,0.0,.000,5.7,11.4,.495,.494,1.8,2.4,.742,1.9,6.3,8.2,2.0,0.8,0.3,1.8,3.5,13.1,DAL
Terry Cummings,35.9,9.1,18.4,.494,0.0,0.0,.000,9.1,18.4,.495,.494,4.7,6.5,.720,4.0,5.6,9.6,1.7,1.1,0.7,2.7,3.7,22.9,SDC
Earl Cureton,12.4,1.1,2.4,.458,0.0,0.0,.000,1.1,2.4,.460,.458,0.4,0.8,.525,1.2,2.8,3.9,0.5,0.3,0.4,0.8,2.0,2.6,DET
Quintin Dailey,29.9,7.1,15.0,.474,0.0,0.4,.125,7.1,14.6,.484,.476,3.9,4.8,.811,0.7,2.1,2.9,3.1,1.3,0.1,2.7,2.7,18.2,CHI
Adrian Dantley,37.8,10.2,18.2,.558,0.0,0.1,.250,10.1,18.2,.559,.558,10.3,12.0,.859,2.3,3.4,5.7,3.9,0.8,0.1,3.3,2.5,30.6,UTA
Brad Davis,32.9,4.3,8.0,.530,0.1,0.5,.184,4.2,7.6,.551,.535,2.5,2.9,.836,0.5,1.8,2.3,6.9,1.2,0.2,2.0,2.7,11.1,DAL
Charles Davis,10.2,2.2,4.7,.472,0.0,0.2,.111,2.2,4.5,.488,.475,0.5,0.8,.615,0.7,1.5,2.2,0.7,0.3,0.2,0.8,1.3,5.0,WSB
Johnny Davis,27.7,4.7,10.7,.443,0.0,0.1,.000,4.7,10.6,.447,.443,2.9,3.4,.848,0.7,1.1,1.9,4.3,0.8,0.1,1.8,1.9,12.3,ATL
Walter Davis,32.6,8.4,16.3,.512,0.3,1.1,.230,8.1,15.2,.532,.520,3.0,3.5,.863,0.5,2.1,2.6,5.5,1.4,0.2,2.7,2.6,20.0,PHO
Darryl Dawkins,29.8,6.3,10.6,.593,0.0,0.1,.400,6.2,10.5,.594,.594,4.2,5.7,.735,2.0,4.7,6.7,1.5,0.7,1.7,2.9,4.8,16.8,NJN
Darren Daye,15.7,2.4,5.4,.441,0.0,0.1,.000,2.4,5.4,.448,.441,1.3,1.8,.714,1.2,1.3,2.5,2.3,0.5,0.2,1.3,2.1,6.1,WSB
Kenny Dennard,9.6,0.8,2.3,.364,0.1,0.2,.300,0.8,2.1,.371,.379,0.3,0.6,.625,0.9,1.5,2.3,1.0,0.5,0.2,0.7,1.9,2.1,DEN
James Donaldson,30.8,4.4,7.4,.596,0.0,0.0,,4.4,7.4,.596,.596,3.0,4.0,.761,2.0,5.9,7.9,1.1,0.5,1.7,2.1,2.6,11.8,SDC
John Drew,22.2,6.3,13.2,.479,0.1,0.3,.273,6.2,12.9,.483,.482,5.0,6.4,.778,1.8,2.4,4.2,1.7,1.1,0.0,2.4,2.6,17.7,UTA
Larry Drew,32.4,6.5,14.1,.462,0.0,0.1,.300,6.5,13.9,.464,.463,3.3,4.3,.776,0.5,1.5,2.0,7.6,1.7,0.1,2.7,2.3,16.4,KCK
Clyde Drexler,17.2,3.1,6.8,.451,0.0,0.0,.250,3.1,6.8,.452,.452,1.5,2.1,.728,1.4,1.5,2.9,1.9,1.3,0.4,1.5,2.5,7.7,POR
Mike Dunleavy,23.8,4.1,7.5,.551,1.1,2.6,.422,3.0,4.8,.622,.626,1.9,2.4,.800,0.4,1.3,1.6,4.6,0.7,0.1,2.1,3.0,11.2,MIL
T.R. Dunn,33.8,2.2,4.6,.470,0.0,0.0,.000,2.2,4.6,.472,.470,1.3,1.8,.731,2.4,4.7,7.2,2.9,2.2,0.4,1.2,2.9,5.7,DEN
Mark Eaton,26.1,2.4,5.1,.466,0.0,0.0,.000,2.4,5.1,.467,.466,0.9,1.5,.593,1.8,5.5,7.3,1.4,0.3,4.3,1.2,3.7,5.6,UTA
Jerry Eaves,12.9,1.7,3.7,.451,0.0,0.1,.000,1.7,3.6,.460,.451,1.2,1.7,.697,0.4,0.7,1.1,2.5,0.4,0.1,1.2,1.1,4.5,UTA
Keith Edmonson,11.3,2.9,5.8,.492,0.0,0.0,,2.9,5.8,.492,.492,1.7,2.3,.746,0.8,0.8,1.6,0.6,0.5,0.1,1.1,1.5,7.5,TOT
Keith Edmonson,13.0,3.4,6.9,.493,0.0,0.0,,3.4,6.9,.493,.493,1.9,2.5,.752,1.0,0.8,1.8,0.7,0.6,0.2,1.1,1.7,8.7,SAS
Keith Edmonson,6.7,1.5,3.1,.489,0.0,0.0,,1.5,3.1,.489,.489,1.2,1.7,.720,0.4,0.8,1.2,0.5,0.3,0.1,1.1,1.1,4.3,DEN
