name,positions,age,team,games_played,games_started,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points
Rory Sparrow,POINT GUARD,28,NEW YORK KNICKS,80,30,1951,263,590,11,42,71,89,29,86,432,67,6,140,160,608
Terence Stansbury,SHOOTING GUARD,25,SEATTLE SUPERSONICS,44,0,375,67,156,11,29,31,50,8,16,57,13,0,29,78,176
Brook Steppe,SHOOTING GUARD,27,SACRAMENTO KINGS,34,7,665,95,199,3,9,73,88,21,40,81,18,3,54,56,266
Steve Stipanovich,CENTER,26,INDIANA PACERS,81,81,2761,382,760,1,4,307,367,184,486,180,106,97,130,304,1072
John Stockton,POINT GUARD,24,UTAH JAZZ,82,2,1858,231,463,7,39,179,229,32,119,670,177,14,164,224,648
Jon Sundvold,POINT GUARD,25,SAN ANTONIO SPURS,76,42,1765,365,751,50,149,70,84,20,78,315,35,0,97,109,850
Roy Tarpley,POWER FORWARD,22,DALLAS MAVERICKS,75,1,1405,233,499,1,3,94,139,180,353,52,56,79,101,232,561
Jeff Taylor,SHOOTING GUARD,27,DETROIT PISTONS,12,0,44,6,10,0,0,9,10,1,3,3,2,1,8,4,21
Terry Teagle,SHOOTING GUARD,26,GOLDEN STATE WARRIORS,82,0,1650,370,808,0,10,182,234,68,107,105,68,13,117,190,922
Reggie Theus,POINT GUARD,29,SACRAMENTO KINGS,79,76,2872,577,1223,17,78,429,495,86,180,692,78,16,289,208,1600
David Thirdkill,SMALL FORWARD,26,BOSTON CELTICS,17,0,89,10,24,0,1,5,16,5,14,2,2,0,5,12,25
Isiah Thomas,POINT GUARD,25,DETROIT PISTONS,81,81,3013,626,1353,19,98,400,521,82,237,813,153,20,343,251,1671
Bernard Thompson,SMALL FORWARD,24,PHOENIX SUNS,24,2,331,42,105,0,3,27,33,20,11,18,11,5,16,53,111
Billy Thompson,SMALL FORWARD,23,LOS ANGELES LAKERS,59,0,762,142,261,0,1,48,74,69,102,60,15,30,61,148,332
LaSalle Thompson,CENTER,25,SACRAMENTO KINGS,82,53,2166,362,752,0,5,188,255,237,450,122,69,126,143,290,912
Mychal Thompson,POWER FORWARD,32,SAN ANTONIO SPURS,49,6,1210,230,528,1,1,144,196,91,185,87,31,41,77,117,605
Mychal Thompson,POWER FORWARD,32,LOS ANGELES LAKERS,33,1,680,129,269,0,1,75,101,47,89,28,14,30,57,85,333
Bob Thornton,POWER FORWARD,24,NEW YORK KNICKS,33,4,282,29,67,0,1,13,20,18,38,8,4,3,24,48,71
Otis Thorpe,POWER FORWARD,24,SACRAMENTO KINGS,82,82,2956,567,1050,0,3,413,543,259,560,201,46,60,189,292,1547
Sedale Threatt,POINT GUARD,25,PHILADELPHIA 76ERS,28,8,668,108,261,7,16,42,53,18,39,82,32,4,47,76,265
Sedale Threatt,POINT GUARD,25,CHICAGO BULLS,40,0,778,131,273,0,16,53,66,8,43,177,42,9,42,88,315
Wayman Tisdale,POWER FORWARD,22,INDIANA PACERS,81,15,2159,458,892,0,2,258,364,217,258,117,50,26,139,293,1174
Andrew Toney,SHOOTING GUARD,29,PHILADELPHIA 76ERS,52,12,1058,197,437,22,67,133,167,16,69,188,18,8,112,78,549
Kelly Tripucka,SMALL FORWARD,27,UTAH JAZZ,79,76,1865,291,621,19,52,197,226,54,188,243,85,11,167,147,798
Trent Tucker,SHOOTING GUARD,27,NEW YORK KNICKS,70,15,1691,325,691,68,161,77,101,49,86,166,116,13,78,169,795
Andre Turner,POINT GUARD,22,BOSTON CELTICS,3,0,18,2,5,0,1,0,0,1,1,1,0,0,5,1,4
Elston Turner,SMALL FORWARD,27,CHICAGO BULLS,70,4,936,112,252,1,8,23,31,34,81,102,30,4,31,97,248
Jeff Turner,POWER FORWARD,24,NEW JERSEY NETS,76,22,1003,151,325,0,1,76,104,80,117,60,33,13,81,200,378
Melvin Turpin,CENTER,26,CLEVELAND CAVALIERS,64,1,801,169,366,0,0,55,77,62,128,33,11,40,63,90,393
Terry Tyler,SMALL FORWARD,30,SACRAMENTO KINGS,82,48,1930,329,664,1,3,101,140,116,212,73,55,78,78,151,760
Darnell Valentine,POINT GUARD,27,LOS ANGELES CLIPPERS,65,52,1759,275,671,13,56,163,200,38,112,447,116,10,167,148,726
Kiki Vandeweghe,SMALL FORWARD,28,PORTLAND TRAIL BLAZERS,79,79,3029,808,1545,39,81,467,527,86,165,220,52,17,139,137,2122
Nick Vanos,CENTER,23,PHOENIX SUNS,57,14,640,65,158,0,2,38,59,67,113,43,19,23,48,94,168
Pete Verhoeven,POWER FORWARD,27,INDIANA PACERS,5,0,44,5,14,0,0,0,0,2,5,2,2,1,0,11,10
Jay Vincent,SMALL FORWARD,27,WASHINGTON BULLETS,51,17,1386,274,613,0,3,130,169,69,141,85,40,17,77,127,678
Sam Vincent,POINT GUARD,23,BOSTON CELTICS,46,5,374,60,136,0,0,51,55,5,22,59,13,1,33,33,171
Danny Vranes,SMALL FORWARD,28,PHILADELPHIA 76ERS,58,6,817,59,138,1,5,21,45,51,95,30,35,25,26,127,140
Granville Waiters,CENTER,26,CHICAGO BULLS,44,26,534,40,93,0,1,5,9,38,49,22,10,31,16,83,85
Darrell Walker,POINT GUARD,25,DENVER NUGGETS,81,25,2020,358,742,0,4,272,365,157,170,282,120,37,187,229,988
Kenny Walker,SMALL FORWARD,22,NEW YORK KNICKS,68,64,1719,285,581,0,4,140,185,118,220,75,49,49,75,236,710
Bill Walton,CENTER,34,BOSTON CELTICS,10,0,112,10,26,0,0,8,15,11,20,9,1,10,15,23,28
Chris Washburn,CENTER,21,GOLDEN STATE WARRIORS,35,2,385,57,145,0,1,18,51,36,65,16,6,8,39,51,132
Pearl Washington,POINT GUARD,23,NEW JERSEY NETS,72,61,1600,257,538,4,24,98,125,37,92,301,92,7,175,184,616
Spud Webb,POINT GUARD,23,ATLANTA HAWKS,33,0,532,71,162,1,6,80,105,6,54,167,34,2,70,65,223
Marvin Webster,CENTER,34,MILWAUKEE BUCKS,15,0,102,10,19,1,1,6,8,12,14,3,3,7,8,17,27
Scott Wedman,SMALL FORWARD,34,BOSTON CELTICS,6,2,78,9,27,1,2,1,2,3,6,6,2,2,3,6,20
Bill Wennington,CENTER,23,DALLAS MAVERICKS,58,0,560,56,132,0,2,45,60,53,76,24,13,10,39,95,157
Mark West,CENTER,26,CLEVELAND CAVALIERS,78,13,1333,209,385,0,2,89,173,126,213,41,22,81,106,229,507
Ennis Whatley,POINT GUARD,24,WASHINGTON BULLETS,73,72,1816,246,515,0,2,126,165,58,136,392,92,10,138,172,618
Rory White,SMALL FORWARD,27,LOS ANGELES CLIPPERS,68,35,1545,265,552,0,3,94,144,90,104,79,47,19,73,159,624
Jerome Whitehead,CENTER,30,GOLDEN STATE WARRIORS,73,1,937,147,327,0,1,79,113,110,152,24,16,12,50,175,373
Mitchell Wiggins,SHOOTING GUARD,27,HOUSTON ROCKETS,32,19,788,153,350,0,5,49,65,74,59,76,44,3,50,82,355
Dominique Wilkins,SMALL FORWARD,27,ATLANTA HAWKS,79,79,2969,828,1787,31,106,607,742,210,284,261,117,51,215,149,2294
Eddie Lee Wilkins,POWER FORWARD,24,NEW YORK KNICKS,24,10,454,56,127,0,1,27,58,45,62,6,9,2,28,67,139
Gerald Wilkins,SHOOTING GUARD,23,NEW YORK KNICKS,80,73,2758,633,1302,26,74,235,335,120,174,354,88,18,214,165,1527
Buck Williams,POWER FORWARD,26,NEW JERSEY NETS,82,82,2976,521,936,0,1,430,588,322,701,129,78,91,280,315,1472
Gus Williams,SHOOTING GUARD,33,ATLANTA HAWKS,33,0,481,53,146,5,18,27,40,8,32,139,17,5,54,53,138
Herb Williams,POWER FORWARD,28,INDIANA PACERS,74,67,2526,451,939,0,9,199,269,143,400,174,59,93,145,255,1101
Hot Rod Williams,POWER FORWARD,24,CLEVELAND CAVALIERS,80,80,2714,435,897,0,1,298,400,222,407,154,58,167,139,197,1168
John Williams,SMALL FORWARD,20,WASHINGTON BULLETS,78,6,1773,283,624,8,36,144,223,130,236,191,129,30,122,173,718
Kevin Williams,SHOOTING GUARD,25,SEATTLE SUPERSONICS,65,0,703,132,296,0,7,55,66,47,36,66,45,8,63,154,319
Pete Williams,POWER FORWARD,21,DENVER NUGGETS,5,0,10,1,2,0,0,0,0,0,1,1,0,0,1,1,2
Ray Williams,POINT GUARD,32,NEW JERSEY NETS,32,14,800,131,290,7,28,49,60,26,49,185,38,9,94,111,318
Kevin Willis,POWER FORWARD,24,ATLANTA HAWKS,81,81,2626,538,1003,1,4,227,320,321,528,62,65,61,173,313,1304
Michael Wilson,SHOOTING GUARD,27,NEW JERSEY NETS,5,0,43,3,8,0,0,2,2,1,3,6,1,0,4,9,8
