name,positions,age,team,games_played,games_started,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points
Wayne Cooper,CENTER,26,PORTLAND TRAIL BLAZERS,80,60,2099,320,723,0,5,135,197,214,397,116,27,136,162,318,775
Dave Corzine,CENTER,26,CHICAGO BULLS,82,71,2496,457,920,0,2,232,322,243,474,154,47,109,228,242,1146
Dave Cowens,POWER FORWARD,34,MILWAUKEE BUCKS,40,34,1014,136,306,0,2,52,63,73,201,82,30,15,44,137,324
Chubby Cox,SHOOTING GUARD,27,WASHINGTON BULLETS,7,0,78,13,37,0,2,3,6,7,3,6,0,1,9,16,29
Charlie Criss,POINT GUARD,34,MILWAUKEE BUCKS,66,0,922,169,375,6,31,68,76,14,65,127,27,0,44,44,412
Geoff Crompton,CENTER,27,SAN ANTONIO SPURS,14,0,148,14,34,0,0,3,5,18,30,7,3,5,5,25,31
Pat Cummings,CENTER,26,DALLAS MAVERICKS,81,71,2317,433,878,0,1,148,196,225,443,144,57,35,162,296,1014
Terry Cummings,POWER FORWARD,21,,70,69,2531,684,1309,0,1,292,412,303,441,177,129,62,204,294,1660
Earl Cureton,CENTER,25,PHILADELPHIA 76ERS,73,3,987,108,258,0,0,33,67,84,185,43,37,24,76,144,249
Quintin Dailey,SHOOTING GUARD,22,CHICAGO BULLS,76,32,2081,470,1008,5,25,206,282,87,173,280,72,10,205,248,1151
Adrian Dantley,SMALL FORWARD,27,UTAH JAZZ,22,22,887,233,402,0,0,210,248,58,82,105,20,0,81,62,676
Brad Davis,POINT GUARD,27,DALLAS MAVERICKS,79,78,2323,359,628,11,43,186,220,34,164,565,80,11,143,176,915
Charles Davis,SMALL FORWARD,24,WASHINGTON BULLETS,74,10,1161,251,534,2,10,56,89,83,130,73,32,22,91,122,560
Johnny Davis,SHOOTING GUARD,27,ATLANTA HAWKS,53,33,1465,258,567,5,18,164,206,37,91,315,43,7,114,100,685
Mike Davis,POWER FORWARD,26,NEW YORK KNICKS,8,0,28,4,10,0,0,6,10,3,7,0,0,4,0,4,14
Walter Davis,SHOOTING GUARD,28,PHOENIX SUNS,80,79,2491,665,1289,7,23,184,225,63,134,397,117,12,188,186,1521
Darryl Dawkins,CENTER,26,NEW JERSEY NETS,81,81,2093,401,669,0,0,166,257,127,293,114,67,152,281,379,968
Kenny Dennard,POWER FORWARD,24,KANSAS CITY KINGS,22,0,224,11,34,0,0,6,9,20,32,6,16,1,5,27,28
Coby Dietrick,CENTER,34,SAN ANTONIO SPURS,8,0,34,1,5,0,0,0,2,2,6,6,1,0,1,6,2
James Donaldson,CENTER,25,SEATTLE SUPERSONICS,82,11,1789,289,496,0,0,150,218,131,370,97,19,101,132,171,728
John Douglas,SHOOTING GUARD,26,,3,1,12,1,6,1,2,2,2,0,1,1,0,0,0,0,5
Leon Douglas,CENTER,28,KANSAS CITY KINGS,5,0,46,2,3,0,0,0,2,3,4,0,0,3,1,13,4
John Drew,SMALL FORWARD,28,UTAH JAZZ,44,33,1206,318,671,0,5,296,392,98,137,97,35,7,135,152,932
Larry Drew,POINT GUARD,24,KANSAS CITY KINGS,75,74,2690,599,1218,2,16,310,378,44,163,610,126,10,272,207,1510
Terry Duerod,SHOOTING GUARD,26,GOLDEN STATE WARRIORS,5,0,49,9,19,0,0,0,0,0,3,5,2,1,9,5,18
Mike Dunleavy,POINT GUARD,28,SAN ANTONIO SPURS,79,9,1619,213,510,67,194,120,154,18,116,437,74,4,160,210,613
T.R. Dunn,SHOOTING GUARD,27,DENVER NUGGETS,82,80,2640,254,527,0,1,119,163,231,384,189,147,25,113,218,627
John Duren,POINT GUARD,24,INDIANA PACERS,82,24,1433,163,360,0,13,43,54,38,69,200,66,5,96,203,369
Mark Eaton,CENTER,26,UTAH JAZZ,81,32,1528,146,353,0,1,59,90,86,376,112,24,275,140,257,351
Jerry Eaves,POINT GUARD,23,UTAH JAZZ,82,7,1588,280,575,1,8,200,247,34,88,210,51,3,152,116,761
Keith Edmonson,SHOOTING GUARD,22,ATLANTA HAWKS,32,2,309,48,139,0,2,16,27,20,19,22,11,6,20,41,112
Franklin Edwards,POINT GUARD,23,PHILADELPHIA 76ERS,81,3,1266,228,483,0,8,86,113,23,62,221,81,6,110,119,542
James Edwards,CENTER,27,CLEVELAND CAVALIERS,15,8,382,73,150,0,0,38,61,37,59,13,7,14,30,61,184
James Edwards,CENTER,27,PHOENIX SUNS,16,1,285,55,113,0,0,31,47,19,40,27,5,5,19,49,141
Len Elmore,CENTER,30,NEW JERSEY NETS,74,0,975,97,244,0,1,54,84,81,157,39,44,38,83,125,248
Chris Engler,CENTER,23,GOLDEN STATE WARRIORS,54,1,369,38,94,0,0,5,16,43,61,11,7,17,24,95,81
Alex English,SMALL FORWARD,29,DENVER NUGGETS,82,82,2988,959,1857,2,12,406,490,263,338,397,116,126,263,235,2326
Julius Erving,SMALL FORWARD,32,PHILADELPHIA 76ERS,72,72,2421,605,1170,2,7,330,435,173,318,263,112,131,196,202,1542
Mike Evans,SHOOTING GUARD,27,DENVER NUGGETS,42,5,695,115,243,0,9,33,41,4,54,113,23,3,71,94,263
Bruce Flowers,POWER FORWARD,25,CLEVELAND CAVALIERS,53,5,699,110,206,0,2,41,53,71,109,47,19,12,43,99,261
Sleepy Floyd,POINT GUARD,22,NEW JERSEY NETS,43,6,494,92,216,4,14,38,45,16,26,67,19,9,40,56,226
Sleepy Floyd,POINT GUARD,22,GOLDEN STATE WARRIORS,33,11,754,134,311,6,11,112,135,40,55,71,39,8,66,78,386
Phil Ford,POINT GUARD,26,NEW JERSEY NETS,7,7,163,20,35,0,1,7,10,0,7,38,6,0,21,22,47
Phil Ford,POINT GUARD,26,MILWAUKEE BUCKS,70,56,1447,193,410,1,8,90,113,18,78,252,46,3,113,168,477
World B. Free,SHOOTING GUARD,29,GOLDEN STATE WARRIORS,19,18,700,164,364,0,3,106,149,22,22,89,15,3,50,66,434
World B. Free,SHOOTING GUARD,29,CLEVELAND CAVALIERS,54,51,1938,485,1059,15,42,324,434,70,87,201,82,12,159,175,1309
Bill Garnett,CENTER,22,DALLAS MAVERICKS,75,13,1411,170,319,0,3,129,174,141,265,103,48,70,81,245,469
Calvin Garrett,SMALL FORWARD,26,HOUSTON ROCKETS,4,0,34,4,11,0,1,2,2,3,4,3,0,0,3,4,10
George Gervin,SHOOTING GUARD,30,SAN ANTONIO SPURS,78,78,2830,757,1553,12,33,517,606,111,246,264,88,67,247,243,2043
Artis Gilmore,CENTER,33,SAN ANTONIO SPURS,82,82,2797,556,888,0,6,367,496,299,685,126,40,192,254,273,1479
Mike Glenn,SHOOTING GUARD,27,ATLANTA HAWKS,73,4,1124,230,444,0,1,74,89,16,74,125,30,9,52,132,534
Mike Gminski,CENTER,23,NEW JERSEY NETS,80,1,1255,213,426,0,1,175,225,154,228,61,35,116,126,118,601
Glen Gondrezick,POWER FORWARD,27,DENVER NUGGETS,76,2,1130,134,294,0,3,82,114,108,193,100,80,9,49,161,350
Rickey Green,POINT GUARD,28,UTAH JAZZ,78,78,2783,464,942,2,13,185,232,62,161,697,220,4,222,154,1115
Dave Greenwood,POWER FORWARD,25,CHICAGO BULLS,79,61,2355,312,686,0,4,165,233,217,548,151,54,90,154,261,789
John Greig,SMALL FORWARD,21,SEATTLE SUPERSONICS,9,0,26,7,13,0,0,5,6,2,4,0,0,1,2,4,19
Kevin Grevey,SMALL FORWARD,29,WASHINGTON BULLETS,41,11,756,114,294,15,38,54,69,18,31,49,18,7,27,61,297
Paul Griffin,POWER FORWARD,29,SAN ANTONIO SPURS,53,0,956,60,116,0,0,53,76,77,139,86,33,25,68,153,173
Darrell Griffith,SHOOTING GUARD,24,UTAH JAZZ,77,76,2787,752,1554,38,132,167,246,100,204,270,138,33,252,184,1709
Bob Gross,SMALL FORWARD,29,,27,3,373,35,82,1,3,12,19,32,34,34,22,7,24,69,83
Ernie Grunfeld,SMALL FORWARD,27,NEW YORK KNICKS,77,0,1422,167,377,0,4,81,98,42,121,136,40,10,84,172,415
Bill Hanzlik,SMALL FORWARD,25,DENVER NUGGETS,82,8,1547,187,437,1,7,125,160,80,156,268,75,15,144,220,500
Joe Hassett,SHOOTING GUARD,27,GOLDEN STATE WARRIORS,6,2,139,19,44,1,9,0,0,3,8,21,2,0,9,14,39
Scott Hastings,CENTER,22,NEW YORK KNICKS,21,0,98,8,22,0,1,7,14,10,21,1,5,0,6,31,23
Scott Hastings,POWER FORWARD,22,ATLANTA HAWKS,10,0,42,5,16,0,2,4,6,5,5,2,1,1,3,3,14
Steve Hawes,POWER FORWARD,32,ATLANTA HAWKS,46,3,860,91,244,2,14,46,62,53,175,59,29,8,73,110,230
Steve Hawes,POWER FORWARD,32,SEATTLE SUPERSONICS,31,1,556,72,146,3,7,23,32,28,105,36,9,6,34,79,170
Elvin Hayes,POWER FORWARD,37,HOUSTON ROCKETS,81,43,2302,424,890,2,4,196,287,199,417,158,50,81,200,232,1046
Steve Hayes,CENTER,27,CLEVELAND CAVALIERS,65,3,1058,104,217,0,1,29,51,102,134,36,17,41,49,215,237
Spencer Haywood,POWER FORWARD,33,WASHINGTON BULLETS,38,25,775,125,312,0,1,63,87,77,106,30,12,27,67,94,313
Gerald Henderson,POINT GUARD,27,BOSTON CELTICS,82,9,1551,286,618,3,16,96,133,57,67,195,95,3,128,190,671
Tom Henderson,SHOOTING GUARD,31,HOUSTON ROCKETS,51,2,789,107,263,0,2,45,57,18,51,138,37,2,50,57,259
Rod Higgins,SMALL FORWARD,23,CHICAGO BULLS,82,42,2196,313,698,13,41,209,264,159,207,175,66,65,127,248,848
Johnny High,SHOOTING GUARD,25,PHOENIX SUNS,82,2,1155,100,217,1,5,63,136,45,105,153,85,34,106,205,264
Armond Hill,POINT GUARD,29,MILWAUKEE BUCKS,14,3,169,14,26,0,0,18,22,5,15,27,9,0,13,20,46
Craig Hodges,SHOOTING GUARD,22,,76,48,2022,318,704,20,90,94,130,53,69,275,82,4,161,192,750
Lionel Hollins,POINT GUARD,29,,56,54,1844,313,717,3,21,129,179,30,98,373,111,14,198,155,758
Phil Hubbard,SMALL FORWARD,26,CLEVELAND CAVALIERS,82,38,1953,288,597,0,2,204,296,222,249,89,87,8,158,271,780
Geoff Huston,POINT GUARD,25,CLEVELAND CAVALIERS,80,79,2716,401,832,4,12,168,245,41,118,487,74,4,195,215,974
Marc Iavaroni,POWER FORWARD,26,PHILADELPHIA 76ERS,80,77,1612,163,353,0,2,78,113,117,212,83,32,44,133,238,404
Dan Issel,CENTER,34,DENVER NUGGETS,80,80,2431,661,1296,4,19,400,479,151,445,223,83,43,174,227,1726
Tracy Jackson,SHOOTING GUARD,23,CHICAGO BULLS,78,3,1309,199,426,2,13,92,126,87,92,105,64,11,83,132,492
Clay Johnson,SHOOTING GUARD,26,LOS ANGELES LAKERS,48,0,447,53,135,0,2,38,48,40,29,24,22,4,25,62,144
Clemon Johnson,CENTER,26,INDIANA PACERS,51,7,1216,208,399,0,1,77,122,115,204,115,51,63,88,137,493
Clemon Johnson,CENTER,26,PHILADELPHIA 76ERS,32,4,698,91,182,0,0,34,58,75,130,24,16,29,36,84,216
Dennis Johnson,POINT GUARD,28,PHOENIX SUNS,77,74,2551,398,861,5,31,292,369,92,243,388,97,39,204,204,1093
Eddie Johnson,SHOOTING GUARD,27,ATLANTA HAWKS,61,57,1813,389,858,14,41,186,237,26,98,318,61,6,156,138,978
Eddie Johnson,SMALL FORWARD,23,KANSAS CITY KINGS,82,82,2933,677,1370,20,71,247,317,191,310,216,70,20,181,259,1621
Frank Johnson,POINT GUARD,24,WASHINGTON BULLETS,68,65,2324,321,786,14,61,196,261,46,132,549,110,6,238,170,852
George Johnson,CENTER,34,ATLANTA HAWKS,37,0,461,25,57,0,0,14,19,44,73,17,10,59,19,69,64
George Johnson,SMALL FORWARD,26,INDIANA PACERS,82,64,2297,409,858,7,38,126,172,176,369,220,77,53,242,279,951
Magic Johnson,SHOOTING GUARD,23,LOS ANGELES LAKERS,79,79,2907,511,933,0,21,304,380,214,469,829,176,47,301,200,1326
Marques Johnson,SMALL FORWARD,26,MILWAUKEE BUCKS,80,80,2853,723,1420,4,20,264,359,196,366,363,100,56,196,211,1714
Mickey Johnson,POWER FORWARD,30,MILWAUKEE BUCKS,6,0,153,30,66,0,2,7,9,9,16,11,1,2,12,22,67
Mickey Johnson,POWER FORWARD,30,NEW JERSEY NETS,42,7,1001,199,496,2,17,164,201,66,158,144,56,21,121,135,564
Mickey Johnson,POWER FORWARD,30,GOLDEN STATE WARRIORS,30,9,899,162,359,1,17,141,170,88,157,100,25,23,105,131,466
Reggie Johnson,SMALL FORWARD,25,KANSAS CITY KINGS,50,0,992,178,355,1,4,73,100,75,126,48,18,26,69,150,430
Reggie Johnson,SMALL FORWARD,25,PHILADELPHIA 76ERS,29,8,549,69,154,0,0,22,30,32,58,23,8,17,35,82,160
Steve Johnson,CENTER,25,KANSAS CITY KINGS,79,21,1544,371,595,0,0,186,324,140,258,95,40,83,180,323,928
Vinnie Johnson,SHOOTING GUARD,26,DETROIT PISTONS,82,51,2511,520,1013,11,40,245,315,167,186,301,93,49,152,263,1296
Jim Johnstone,CENTER,22,SAN ANTONIO SPURS,7,0,54,2,10,0,0,3,5,4,12,1,1,1,4,9,7
Jim Johnstone,POWER FORWARD,22,DETROIT PISTONS,16,0,137,9,20,0,0,6,15,11,19,10,2,6,11,24,24
Bobby Jones,POWER FORWARD,31,PHILADELPHIA 76ERS,74,0,1749,250,460,0,1,165,208,102,242,142,85,91,109,199,665
Caldwell Jones,CENTER,32,HOUSTON ROCKETS,82,82,2440,307,677,0,2,162,206,222,446,138,46,131,171,278,776
Dwight Jones,POWER FORWARD,30,CHICAGO BULLS,49,2,673,86,193,0,0,47,75,56,139,40,18,14,66,90,219
Dwight Jones,POWER FORWARD,30,LOS ANGELES LAKERS,32,0,491,62,132,0,1,32,48,28,86,22,13,9,35,82,156
Edgar Jones,POWER FORWARD,26,DETROIT PISTONS,49,25,1036,145,294,2,6,117,172,80,191,69,28,77,103,160,409
Edgar Jones,POWER FORWARD,26,SAN ANTONIO SPURS,28,3,622,92,185,0,3,84,114,56,121,20,14,31,43,107,268
Hutch Jones,SMALL FORWARD,23,,9,0,85,17,37,0,0,6,6,10,7,4,3,0,6,14,40
Major Jones,POWER FORWARD,29,HOUSTON ROCKETS,60,4,878,142,311,0,2,56,102,114,149,39,22,22,83,104,340
Eddie Jordan,POINT GUARD,28,LOS ANGELES LAKERS,35,0,333,40,132,3,16,11,17,8,18,80,31,1,54,52,94
Jeff Judkins,SMALL FORWARD,26,PORTLAND TRAIL BLAZERS,34,0,309,39,88,2,8,25,30,18,25,17,15,2,17,39,105
Rich Kelley,CENTER,29,DENVER NUGGETS,38,0,565,59,141,0,0,55,70,61,111,59,21,18,53,115,173
Rich Kelley,CENTER,29,UTAH JAZZ,32,23,780,71,152,0,0,87,105,70,162,79,33,21,65,106,229
Clark Kellogg,POWER FORWARD,21,INDIANA PACERS,81,81,2761,680,1420,4,18,261,352,340,520,223,141,43,217,298,1625
Greg Kelser,SMALL FORWARD,25,SEATTLE SUPERSONICS,80,9,1507,247,450,0,3,173,257,158,245,97,52,35,149,243,667
Larry Kenon,POWER FORWARD,30,CHICAGO BULLS,5,0,25,2,6,0,0,0,0,1,3,0,1,0,2,2,4
Larry Kenon,POWER FORWARD,30,GOLDEN STATE WARRIORS,11,0,121,17,39,0,0,7,11,13,13,5,1,0,6,13,41
Larry Kenon,POWER FORWARD,30,CLEVELAND CAVALIERS,32,7,624,100,212,0,1,35,46,52,65,34,21,9,39,49,235
Albert King,SMALL FORWARD,23,NEW JERSEY NETS,79,75,2447,582,1226,6,23,176,227,157,299,291,95,41,245,278,1346
Bernard King,SMALL FORWARD,26,NEW YORK KNICKS,68,68,2207,603,1142,0,6,280,388,99,227,195,90,13,197,233,1486
Reggie King,SMALL FORWARD,25,KANSAS CITY KINGS,58,5,995,104,225,0,0,73,96,91,149,58,28,11,65,94,281
Billy Knight,SHOOTING GUARD,30,INDIANA PACERS,80,54,2262,512,984,3,19,343,408,152,172,192,66,8,193,143,1370
Joe Kopicki,POWER FORWARD,22,WASHINGTON BULLETS,17,1,201,23,51,0,1,21,25,18,44,9,9,2,8,21,67
Joel Kramer,CENTER,27,PHOENIX SUNS,54,4,458,44,104,0,1,14,16,41,47,37,15,6,22,63,102
Sam Lacey,CENTER,34,CLEVELAND CAVALIERS,60,33,1232,111,264,2,9,29,37,62,169,118,29,25,98,209,253
Bill Laimbeer,CENTER,25,DETROIT PISTONS,82,82,2871,436,877,2,13,245,310,282,711,263,51,118,176,320,1119
Jeff Lamp,SMALL FORWARD,23,PORTLAND TRAIL BLAZERS,59,1,690,107,252,1,6,42,52,25,51,58,20,3,38,67,257
Mark Landsberger,POWER FORWARD,27,LOS ANGELES LAKERS,39,4,356,43,102,0,0,12,25,55,73,12,8,4,20,48,98
Bob Lanier,CENTER,34,MILWAUKEE BUCKS,39,35,978,163,332,0,1,91,133,58,142,105,34,24,82,125,417
Allen Leavell,POINT GUARD,25,HOUSTON ROCKETS,79,76,2602,439,1059,42,175,247,297,64,131,530,165,14,198,215,1167
Ronnie Lester,POINT GUARD,24,CHICAGO BULLS,65,38,1437,202,446,0,5,124,171,46,126,332,51,6,134,121,528
Fat Lever,POINT GUARD,22,PORTLAND TRAIL BLAZERS,81,45,2020,256,594,5,15,116,159,85,140,426,153,15,137,179,633
Cliff Levingston,POWER FORWARD,22,DETROIT PISTONS,62,5,879,131,270,0,1,84,147,104,128,52,23,36,73,125,346
Steve Lingenfelter,POWER FORWARD,24,WASHINGTON BULLETS,7,0,53,4,6,0,0,0,4,1,11,4,1,3,5,16,8
Alton Lister,POWER FORWARD,24,MILWAUKEE BUCKS,80,37,1885,272,514,0,0,130,242,168,400,111,50,177,186,328,674
Lewis Lloyd,SHOOTING GUARD,23,GOLDEN STATE WARRIORS,73,24,1350,293,566,1,4,100,139,77,183,130,61,31,118,109,687
Scott Lloyd,CENTER,30,DALLAS MAVERICKS,15,0,206,19,50,0,1,11,17,19,27,21,6,6,6,24,49
Kevin Loder,SMALL FORWARD,23,KANSAS CITY KINGS,66,13,818,138,300,5,9,53,80,37,88,72,29,8,64,98,334
John Long,SHOOTING GUARD,26,DETROIT PISTONS,70,30,1485,312,692,2,7,111,146,56,124,105,44,12,144,130,737
John Lucas,POINT GUARD,29,WASHINGTON BULLETS,35,0,386,62,131,0,5,21,42,8,21,102,25,1,47,18,145
Maurice Lucas,POWER FORWARD,30,PHOENIX SUNS,77,71,2586,495,1045,1,3,278,356,201,598,219,56,43,221,274,1269
Rudy Macklin,SMALL FORWARD,24,ATLANTA HAWKS,73,20,1171,170,360,0,4,101,131,85,105,71,41,10,89,189,441
Kyle Macy,POINT GUARD,25,PHOENIX SUNS,82,9,1836,328,634,23,76,129,148,41,124,278,64,8,90,130,808
Dave Magley,SMALL FORWARD,23,CLEVELAND CAVALIERS,14,0,56,4,16,0,1,4,8,2,8,2,2,0,2,5,12
Rick Mahorn,POWER FORWARD,24,WASHINGTON BULLETS,82,82,3023,376,768,0,3,146,254,171,608,115,86,148,170,335,898
Moses Malone,CENTER,27,PHILADELPHIA 76ERS,78,78,2922,654,1305,0,1,600,788,445,749,101,89,157,264,206,1908
Wes Matthews,POINT GUARD,23,ATLANTA HAWKS,64,0,1187,171,424,14,48,86,112,25,66,249,60,8,123,129,442
Cedric Maxwell,SMALL FORWARD,27,BOSTON CELTICS,79,71,2252,331,663,0,1,280,345,185,237,186,65,39,165,202,942
Scott May,SMALL FORWARD,28,DETROIT PISTONS,9,1,155,21,50,0,0,17,21,10,16,12,5,2,13,24,59
Bob McAdoo,CENTER,31,LOS ANGELES LAKERS,47,1,1019,292,562,0,1,119,163,76,171,39,40,40,68,153,703
Hank McDowell,POWER FORWARD,23,GOLDEN STATE WARRIORS,14,0,130,13,29,0,0,14,18,15,15,4,2,4,8,26,40
Hank McDowell,POWER FORWARD,23,PORTLAND TRAIL BLAZERS,42,0,375,45,97,0,2,33,43,39,50,20,6,7,32,58,123
Mike McGee,SMALL FORWARD,23,LOS ANGELES LAKERS,39,7,381,69,163,1,7,17,23,33,20,26,11,5,27,50,156
